name_en	name_zh	address_en	address_zh	sub_district_en	sub_district_zh	district_en	district_zh	area_en	area_zh	x	y	lat	long
Toilet (Near to Yuen Long)	廁所（元朗附近）	Toilet, Yuen Long, NT	新界元朗廁所	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	819997	833460	22.440476315	114.018812029
Toilet (Near to Yuen Long)	廁所（元朗附近）	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820901	835027	22.45463534	114.027578645
Toilet (Near to Yuen Long)	廁所（元朗附近）	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821896	834278	22.447880207	114.037252164
Toilet (Near to Yuen Long)	廁所（元朗附近）	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821957	833860	22.444106	114.037848531
Toilet (Near to Yuen Long)	廁所（元朗附近）	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821149	834451	22.449436031	114.029993523
Toilet (Near to Yuen Long)	廁所（元朗附近）	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820857	833820	22.443735229	114.027162869
Toilet (Near to Yuen Long)	廁所（元朗附近）	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820017	833647	22.442165194	114.019004405
Toilet (Near to Yuen Long)	廁所（元朗附近）	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820313	837682	22.478605659	114.021839368
Toilet (Nga Ying Kok Campsite)	廁所 （牙鷹角營地）	Nga Ying Kok Campsite	牙鷹角營地	Others	其他	Islands	離島	New Territories	新界	802867	811129	22.238569255	113.852872789
Toilet (Ngong Ping Campsite, Ma On Shan)	廁所 （馬鞍山 昂平營地）	Ngong Ping Campsite, Ma On Shan	馬鞍山 昂平營地	Ma On Shan	馬鞍山	Sha Tin	沙田	New Territories	新界	843965	828117	22.392286469	114.251620084
Toilet (Opposite Tai Po Kau Management Centre)	廁所（大埔滘管理站 對面）	Opposite Tai Po Kau Management Centre	大埔滘管理站 對面	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	836684.999275	832254.574075	22.42966804	114.180924964
Toilet (Pak A; MacLehose Trail - Section No. 1)	廁所 （北丫；麥理浩徑 - 第一段）	Pak A; MacLehose Trail - Section No. 1	北丫；麥理浩徑 - 第一段	Others	其他	Sai Kung	西貢	New Territories	新界	854462	824714	22.361476457	114.353517577
Toilet (Pak Fu Tin Campsite)	廁所 （白富田營地）	Pak Fu Tin Campsite	白富田營地	Others	其他	Islands	離島	New Territories	新界	817457	812545	22.251576993	113.994383636
Toilet (Pak Kung Au Picnic Site, Tung Chung Road)	廁所 （東涌道 伯公坳郊遊場地）	Pak Kung Au Picnic Site, Tung Chung Road	東涌道 伯公坳郊遊場地	Others	其他	Islands	離島	New Territories	新界	812158	812221	22.248585247	113.942981727
Toilet (Pak Lap Campsite)	廁所 （白腊營地）	Pak Lap Campsite	白腊營地	Others	其他	Sai Kung	西貢	New Territories	新界	855659	824508	22.359603074	114.365136549
Toilet (Pak Tam Au Campsite)	廁所 （北潭凹營地）	Pak Tam Au Campsite	北潭凹營地	Others	其他	Tai Po	大埔	New Territories	新界	852634.773325	831521.128275	22.422966475	114.335847199
Toilet (Pak Tam Chung Barbecue Site No. 3; Pak Tam Chung Family Walk Starting Point)	廁所 （北潭涌燒烤場地三號；北潭涌家樂徑 起點）	Pak Tam Chung Barbecue Site No. 3; Pak Tam Chung Family Walk Starting Point	北潭涌燒烤場地三號；北潭涌家樂徑 起點	Others	其他	Sai Kung	西貢	New Territories	新界	850886.6507	828893.4245	22.399252908	114.318843357
Toilet (Pak Tam Chung Bus Terminus; Sai Kung Country Park Visitor Centre)	廁所 （北潭涌巴士總站；西貢郊野公園遊客中心）	Pak Tam Chung Bus Terminus; Sai Kung Country Park Visitor Centre	北潭涌巴士總站；西貢郊野公園遊客中心	Others	其他	Sai Kung	西貢	New Territories	新界	850913.284	828706.5674	22.397565271	114.319100289
Toilet (Pak Tam Chung P.H.A.B. Site)	廁所 （北潭涌傷健樂園）	Pak Tam Chung P.H.A.B. Site	北潭涌傷健樂園	Others	其他	Sai Kung	西貢	New Territories	新界	851060	828676	22.397287973	114.320524816
Toilet (Pak Tam Chung Picnic Site; Pak Tam Chung Tree Walk)	廁所 （北潭涌郊遊場地；北潭涌樹木研習徑）	Pak Tam Chung Picnic Site; Pak Tam Chung Tree Walk	北潭涌郊遊場地；北潭涌樹木研習徑	Others	其他	Sai Kung	西貢	New Territories	新界	851068.88975	828639.1049	22.396954716	114.320610805
Toilet (Picnic Site No. 1, Piper's Road; Eagle's Nest Nature Trail Entrance)	廁所 （琵琶山路 郊遊場地1號；鷹巢山自然教育徑入口）	Picnic Site No. 1, Piper's Road; Eagle's Nest Nature Trail Entrance	琵琶山路 郊遊場地1號；鷹巢山自然教育徑入口	Others	其他	Sha Tin	沙田	New Territories	新界	833884.033125	823138.647375	22.347344908	114.153731051
Toilet (Picnic Site No. 12, Golden Hill Road )	廁所 （金山路 郊遊場地12號）	Picnic Site No. 12, Golden Hill Road	金山路 郊遊場地12號	Others	其他	Sha Tin	沙田	New Territories	新界	833571.209	825171.848	22.36570537	114.150690759
Toilet (Picnic Site No. 5, Golden Hill Road)	廁所 （金山路 郊遊場地5號）	Picnic Site No. 5, Golden Hill Road	金山路 郊遊場地5號	Others	其他	Sha Tin	沙田	New Territories	新界	833708.501625	823936.5879	22.354550504	114.152025733
Toilet (Plover Cove Country Park Tai Mei Tuk Management Centre, Bride's Pool Road)	廁所 （新娘潭路 船灣郊野公園大美督管理站）	Plover Cove Country Park Tai Mei Tuk Management Centre, Bride's Pool Road	新娘潭路 船灣郊野公園大美督管理站	Shuen Wan	船灣	Tai Po	大埔	New Territories	新界	842359.9474	837420.767425	22.476310244	114.236069043
Toilet (Po Kwu Wan Campsite)	廁所 （曝罟灣營地）	Po Kwu Wan Campsite	曝罟灣營地	Others	其他	Sai Kung	西貢	New Territories	新界	851699.1269	827001.4592	22.382160421	114.326715387
Toilet (Pok Fu Lam Reservoir Road, near Pok Fu Lam Country Park Management Centre)	廁所 （薄扶林水塘道, 近薄扶林郊野公園管理站）	Pok Fu Lam Reservoir Road, near Pok Fu Lam Country Park Management Centre	薄扶林水塘道, 近薄扶林郊野公園管理站	Pok Fu Lam	薄扶林	Southern	南區	Hong Kong	港島	832099	814079	22.2655274	114.136425668
Toilet (Pok Fu Lam Reservoir Road; Pok Fu Lam Family Walk)	廁所 （薄扶林水塘道；薄扶林家樂徑）	Pok Fu Lam Reservoir Road; Pok Fu Lam Family Walk	薄扶林水塘道；薄扶林家樂徑	Pok Fu Lam	薄扶林	Southern	南區	Hong Kong	港島	832099	814079	22.2655274	114.136425668
Toilet (Quarry Bay Picnic Site No. 5; Wilson Trail - Section No. 2)	廁所 （鰂魚涌郊遊場地5號；衞奕信徑 - 第二段）	Quarry Bay Picnic Site No. 5; Wilson Trail - Section No. 2	鰂魚涌郊遊場地5號；衞奕信徑 - 第二段	Quarry Bay	鰂魚涌	Eastern	東區	Hong Kong	港島	840102	815375	22.277231871	114.214075864
Toilet (Roundabout at the end of Golden Hill Road)	廁所 （金山路尾迴旋處）	Roundabout at the End of Golden Hill Road	金山路尾迴旋處	Others	其他	Sha Tin	沙田	New Territories	新界	833104	825565	22.369254949	114.146153768
Toilet (Sai Sha Road Barbecue Site No. 5)	廁所 （西沙路燒烤場地五號）	Sai Sha Road Barbecue Site No. 5	西沙路燒烤場地五號	Others	其他	Tai Po	大埔	New Territories	新界	846814.1584	829540.8122	22.405129033	114.279297705
Toilet (Sai Wan Campsite)	廁所 （西灣營地）	Sai Wan Campsite	西灣營地	Others	其他	Sai Kung	西貢	New Territories	新界	856126.071325	828780.588675	22.398181254	114.369724376
Toilet (Sai Wan Pavilion, Sai Kung Sai Wan Road)	廁所 （西貢西灣路 西灣亭）	Sai Wan Pavilion, Sai Kung Sai Wan Road	西貢西灣路 西灣亭	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	855111	828440	22.395117039	114.359862609
Toilet (Sai Wan; MacLehose Trail - Section No. 2)	廁所 （西灣；麥理浩徑 - 第二段）	Sai Wan; MacLehose Trail - Section No. 2	西灣；麥理浩徑 - 第二段	Others	其他	Sai Kung	西貢	New Territories	新界	856293.288325	828542.99235	22.396033705	114.371345298
Tong Hang Tsuen Public Toilet	塘坑村公廁	Tong Hang Playground, Fanling, NT	新界粉嶺塘坑遊樂場	Fanling	粉嶺	North	北區	New Territories	新界	833477	838877	22.489469226	114.149752068
Toilet (Sham Tseng Barbecue Site No. 1, Sham Tseng Settlement Basin)	廁所（深井沉澱塘 深井燒烤場地1號）	Sham Tseng Barbecue Site No. 1, Sham Tseng Settlement Basin	深井沉澱塘 深井燒烤場地1號	Sham Tseng	深井	Tsuen Wan	荃灣	New Territories	新界	823581.798	825815.0848	22.371469414	114.053696821
Toilet (Sham Tseng Barbecue Site No. 2, Near Tai Lam Nature Trail Finishing Point)	廁所（深井燒烤場地2號；近大欖自然教育徑終點）	Sham Tseng Barbecue Site No. 2, Near Tai Lam Nature Trail Finishing Point	深井燒烤場地2號；近大欖自然教育徑終點	Sham Tseng	深井	Tsuen Wan	荃灣	New Territories	新界	823271.0517	825621.3094	22.369717199	114.05068119
Toilet (Sham Tseng Picnic Site No. 310, Tai Lam Chung Reservoir)	廁所（深井郊遊場地310號；大欖涌水塘）	Sham Tseng Picnic Site No. 310, Tai Lam Chung Reservoir	深井郊遊場地310號；大欖涌水塘	Others	其他	Tuen Mun	屯門	New Territories	新界	820185	826081	22.373842308	114.020712783
Toilet (Sham Tseng Picnic Site No. 6; Halfway along Tai Lam Nature Trail)	廁所（深井郊遊場地6號；大欖自然教育徑 中間位）	Sham Tseng Picnic Site No. 6; Halfway along Tai Lam Nature Trail	深井郊遊場地6號；大欖自然教育徑 中間位	Sham Tseng	深井	Tsuen Wan	荃灣	New Territories	新界	822955	826832	22.38064793	114.047602415
Toilet (Shap Long Campsite)	廁所 （十塱營地）	Shap Long Campsite	十塱營地	Others	其他	Islands	離島	New Territories	新界	816819	810915	22.236850004	113.988213955
Toilet (Shek Kong Barbecue Site No. 3, Kap Lung)	廁所（甲龍 石崗燒烤場地3號）	Shek Kong Barbecue Site No. 3, Kap Lung	甲龍 石崗燒烤場地3號	Others	其他	Yuen Long	元朗	New Territories	新界	828774.56625	831486.89365	22.422719194	114.104089677
Toilet (Shek Lam Chau Campsite, Lantau Trail - Section No. 9)	廁所 （鳳凰徑 - 第9段 石欖洲營地）	Shek Lam Chau Campsite, Lantau Trail - Section No. 9	鳳凰徑 - 第9段 石欖洲營地	Others	其他	Islands	離島	New Territories	新界	808062	808321	22.213303934	113.903314835
Toilet (Shing Mun Barbecue Site No. 3, Shing Mun Road)	廁所 （城門道 城門燒烤場地3號）	Shing Mun Barbecue Site No. 3, Shing Mun Road	城門道 城門燒烤場地3號	Others	其他	Kwai Tsing	葵青	New Territories	新界	832796	826635	22.378917024	114.143160943
Toilet (Shing Mun Barbecue Site No. 5, Shing Mun Road)	廁所 （城門道 城門燒烤場地5號）	Shing Mun Barbecue Site No. 5, Shing Mun Road	城門道 城門燒烤場地5號	Others	其他	Kwai Tsing	葵青	New Territories	新界	832912	826518.8187	22.377868076	114.144287557
Toilet (Shing Mun Barbecue Site No. 9, Shing Mun Main Dam)	廁所 （城門水塘主壩 城門燒烤場地9號）	Shing Mun Barbecue Site No. 9, Shing Mun Main Dam	城門水塘主壩 城門燒烤場地9號	Others	其他	Kwai Tsing	葵青	New Territories	新界	833278	826612	22.378710228	114.147841249
Toilet (Shing Mun Forest Track - Needle Hill Section; Halfway along MacLehose Trail - Section No. 7)	廁所 （城門林道 - 針山段；麥理浩徑 - 第7段 中間位）	Shing Mun Forest Track - Needle Hill Section; Halfway along MacLehose Trail - Section No. 7	城門林道 - 針山段；麥理浩徑 - 第7段 中間位	Others	其他	Sha Tin	沙田	New Territories	新界	835390.1135	828390	22.394768867	114.168349059
Toilet (Shing Mun Kisok)	廁所 （城門茶水亭）	Shing Mun Kisok	城門茶水亭	Others	其他	Tsuen Wan	荃灣	New Territories	新界	832831.9457	827290.4346	22.384836014	114.143508569
Toilet (Shing Mun Picnic Site No. 1, Lung Mun Country Trail Finishing Point)	廁所 （龍門郊遊徑終點 城門郊遊場地1號）	Shing Mun Picnic Site No. 1, Lung Mun Country Trail Finishing Point	龍門郊遊徑終點 城門郊遊場地1號	Others	其他	Tsuen Wan	荃灣	New Territories	新界	832924.063525	827485.86165	22.386601003	114.14440267
Toilet (Shing Mun Picnic Site No. 10, Lead Mine Pass)	廁所 （鉛鑛坳 城門郊遊場地10號）	Shing Mun Picnic Site No. 10, Lead Mine Pass	鉛鑛坳 城門郊遊場地10號	Others	其他	Tai Po	大埔	New Territories	新界	834347	830309	22.412097548	114.158216876
Toilet (Shing Mun Picnic Site No. 6, Jubilee (Shing Mun) Reservoir, Tai Shing Stream)	廁所 （大城石澗 城門水塘 城門郊遊場地6號）	Shing Mun Picnic Site No. 6, Jubilee (Shing Mun) Reservoir, Tai Shing Stream	大城石澗 城門水塘 城門郊遊場地6號	Others	其他	Tsuen Wan	荃灣	New Territories	新界	833474	828491	22.395678901	114.149741138
Toilet (Shing Mun Picnic Site No.14, Shing Mun Forest Track - Reservoir Section)	廁所 （城門林道 - 水塘段 城門郊遊場地14號）	Shing Mun Picnic Site No.14, Shing Mun Forest Track - Reservoir Section	城門林道 - 水塘段 城門郊遊場地14號	Others	其他	Tsuen Wan	荃灣	New Territories	新界	834044	827837	22.389773779	114.155277463
Toilet (Shui Long Wo Campsite)	廁所 （水浪窩營地）	Shui Long Wo Campsite	水浪窩營地	Others	其他	Tai Po	大埔	New Territories	新界	846364.285	829273.717	22.402719744	114.274926888
Toilet (Shum Wat Picnic Site No. 4, Lantau Trail - Section No. 5)	廁所 （鳳凰徑 - 第5段；深屈郊遊場地4號）	Shum Wat Picnic Site No. 4, Lantau Trail Section - No. 5	鳳凰徑 - 第5段；深屈郊遊場地4號	Others	其他	Islands	離島	New Territories	新界	806850	811732	22.244087069	113.891497881
Toilet (Tai Hang Tun Barbecue Site)	廁所 （大坑墩燒烤場地）	Tai Hang Tun Barbecue Site	大坑墩燒烤場地	Others	其他	Sai Kung	西貢	New Territories	新界	848954	816840	22.290419302	114.299978806
Toilet (Tai Long Wan Campsite, Lantau)	廁所 （大嶼山 大浪灣營地）	Tai Long Wan Campsite, Lantau	大嶼山 大浪灣營地	Lantau Island	大嶼山	Islands	離島	New Territories	新界	805442	808350	22.213521136	113.877904131
Toilet (Tai Mei Tuk Barbecue Site No. 1)	廁所 （大美督燒烤場地1號）	Tai Mei Tuk Barbecue Site No. 1	大美督燒烤場地1號	#N/A	大美督	Tai Po	大埔	New Territories	新界	842046	836553	22.468475031	114.233015299
Toilet (Tai Mo Shan Kisok, Rotary Park)	廁所 （扶輪公園 大帽山茶水亭）	Tai Mo Shan Kisok, Rotary Park	扶輪公園 大帽山茶水亭	Others	其他	Tsuen Wan	荃灣	New Territories	新界	828952.1562	829531.3229	22.405060214	114.105823608
Toilet (Tai Mo Shan Picnic Site No. 5)	廁所 （大帽山郊遊場地5號）	Tai Mo Shan Picnic Site No.5, Tai Mo Shan Road	大帽山道 大帽山郊遊場地5號	Others	其他	Tsuen Wan	荃灣	New Territories	新界	830176	830262	22.411663371	114.117706665
Toilet (Tai Mo Shan Visitor Centre)	廁所 （大帽山遊客中心）	Tai Mo Shan Visitor Centre	大帽山遊客中心	Others	其他	Yuen Long	元朗	New Territories	新界	829022	829634	22.405987736	114.106501457
Toilet (Tai Mong Tsai Barbecue Site No. 10)	廁所 （大網仔燒烤場地十號）	Tai Mong Tsai Barbecue Site No. 10	大網仔燒烤場地十號	Tai Mong Tsai	大網仔	Sai Kung	西貢	New Territories	新界	848863	827777	22.389187112	114.299181897
Toilet (Tai Mong Tsai Barbecue Site No. 14)	廁所 （大網仔燒烤場地十四號）	Tai Mong Tsai Barbecue Site No. 14	大網仔燒烤場地十四號	Tai Mong Tsai	大網仔	Sai Kung	西貢	New Territories	新界	849508	827437	22.386111884	114.305442528
Toilet (Tai Mong Tsai Barbecue Site No. 4; Junction of Sai Sha Road and Tai Mong Tsai Road)	廁所 （大網仔燒烤場地四號；西沙路及大網仔路 交界）	Tai Mong Tsai Barbecue Site No. 4; Junction of Sai Sha Road and Tai Mong Tsai Road	大網仔燒烤場地四號；西沙路及大網仔路 交界	Tai Mong Tsai	大網仔	Sai Kung	西貢	New Territories	新界	847334	828539	22.396078901	114.284339395
Toilet (Tai Mong Tsai Barbecue Site No. 8, Tso Wo Hang Pier)	廁所 （早禾坑碼頭 大網仔燒烤場地八號）	Tai Mong Tsai Barbecue Site No. 8, Tso Wo Hang Pier	早禾坑碼頭 大網仔燒烤場地八號	Tai Mong Tsai	大網仔	Sai Kung	西貢	New Territories	新界	847863.990925	828092.988875	22.392047696	114.289483033
Toilet (Tai Po Kau Forest Track - Kon Hang Section)	廁所（大埔滘林道-乾坑段）	Tai Po Kau Forest Track - Kon Hang Section	大埔滘林道-乾坑段	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	836724	830744	22.416026822	114.181303366
Toilet (Tai Po Kau Forest Walks)	廁所（大埔滘林徑）	Tai Po Kau Forest Walks	大埔滘林徑	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	836124	832341	22.430448553	114.175475624
Toilet (Tai Po Kau Nature Reserve Picnic Site No. 1, Tai Po Kau Nature Trail Finishing Point)	廁所 （大埔滘自然教育徑 終點 大埔滘自然護理區郊遊場地1號）	Tai Po Kau Nature Reserve Picnic Site No. 1, Tai Po Kau Nature Trail Finishing Point	大埔滘自然教育徑 終點 大埔滘自然護理區郊遊場地1號	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	836691.1443	832127.614	22.428521529	114.18098462
Toilet (Tai Po Kau Nature Reserve Picnic Site No. 4, Tai Po Kau Forest Track - Kau Lead Section)	廁所（大埔滘林道 - 滘鉛段大埔滘自然護理區郊遊場地4號）	Tai Po Kau Nature Reserve Picnic Site No. 4, Tai Po Kau Forest Track - Kau Lead Section	大埔滘林道 - 滘鉛段大埔滘自然護理區郊遊場地4號	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	835606.023775	831236.505475	22.420474321	114.170444629
Toilet (Tai Tan Campsite)	廁所 （大灘營地）	Tai Tan Campsite, Pak Tam Road	北潭路 大灘營地	Others	其他	Tai Po	大埔	New Territories	新界	852471.7682	833084.5086	22.437086035	114.334279834
Toilet (Tai Tong Barbecue Site No. 1 Kiosk, Tai Tong Shan Road)	廁所（大棠山道 大棠燒烤場地1號小食亭）	Tai Tong Barbecue Site No. 1 Kiosk, Tai Tong Shan Road	大棠山道 大棠燒烤場地1號小食亭	Others	其他	Yuen Long	元朗	New Territories	新界	821288.4106	830026.81275	22.40948489	114.031389524
Toilet (Tai Tong Barbecue Site No. 1, Tai Tong Shan Road)	廁所（大棠山道 大棠燒烤場地1號）	Tai Tong Barbecue Site No. 1, Tai Tong Shan Road	大棠山道 大棠燒烤場地1號	Others	其他	Yuen Long	元朗	New Territories	新界	821437	830056	22.409749756	114.032832379
Toilet (Tai Tong Barbecue Site No. 6, Tai Tong Shan Road)	廁所（大棠山道 大棠燒烤場地6號）	Tai Tong Barbecue Site No. 6, Tai Tong Shan Road	大棠山道 大棠燒烤場地6號	Others	其他	Yuen Long	元朗	New Territories	新界	821700	829809	22.407521486	114.035388946
Toilet (Tai Tong Nature Trail Starting Point; Halfway along MacLehose Trail - Section No. 10)	廁所（大欖自然教育徑 起點；麥理浩徑 - 第十段 中間位）	Tai Tong Nature Trail Starting Point; Halfway along MacLehose Trail - Section No. 10	大欖自然教育徑 起點；麥理浩徑 - 第十段 中間位	Others	其他	Tuen Mun	屯門	New Territories	新界	821622.80005	828905.512425	22.399361909	114.034647476
Toilet (Tai Tong Picnic Site No. 2, Tai Tong Nature Trail)	廁所（大棠郊遊場地2號；大欖自然教育徑）	Tai Tong Picnic Site No. 2, Tai Tong Nature Trail	大棠郊遊場地2號；大欖自然教育徑	Others	其他	Tuen Mun	屯門	New Territories	新界	822803	828578	22.396413986	114.046111733
Toilet (Tin Fu Tsai Campsite)	廁所（田夫仔營地）	Tin Fu Tsai Campsite	田夫仔營地	Others	其他	Tsuen Wan	荃灣	New Territories	新界	824857.51145	827919.007525	22.390477857	114.066068391
Toilet (To Tei Wan Tsuen; Junction of Shek O Road and Hong Kong Trail - Section No. 8)	廁所 （土地灣村；石澳道及港島徑 - 第八段 交界）	To Tei Wan Tsuen; Junction of Shek O Road and Hong Kong Trail - Section No. 8	土地灣村；石澳道及港島徑 - 第八段 交界	Shek O	石澳	Southern	南區	Hong Kong	港島	842758	809816	22.227022454	114.239824711
Toilet (Tsin Yue Wan Campsite)	廁所 （煎魚灣營地）	Tsin Yue Wan Campsite	煎魚灣營地	Others	其他	Islands	離島	New Territories	新界	802004	807826	22.208724466	113.844571767
Toilet (Tuen Mun Fitness Trail, Near Hin Fat Lane)	廁所（屯門健身徑；近顯發里）	Tuen Mun Fitness Trail, Near Hin Fat Lane	屯門健身徑；近顯發里	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	816318.067875	827756.88215	22.38893574	113.983145117
Toilet (Tung Ping Chau Campsite）	廁所 （東平洲營地）	Tung Ping Chau Campsite	東平洲營地	Others	其他	Tai Po	大埔	New Territories	新界	863414.224375	844638.552775	22.541284013	114.440773317
Toilet (Twisk Barbecue Site No.2, Tai Mo Shan Road)	廁所（大帽山道 荃錦燒烤場地）	Twisk Barbecue Site No.2, Tai Mo Shan Road	大帽山道 荃錦燒烤場地	Others	其他	Tsuen Wan	荃灣	New Territories	新界	828864.210825	829591.635375	22.405604488	114.104969211
Toilet (Twisk Picnic Site, Junction of Tai Lam Forest Track - Tsing Fai Tong Section & Tin Fu Tsai Section)	廁所（荃錦郊遊場地；大欖林道-清快塘段及田夫仔段 交界）	Twisk Picnic Site, Junction of Tai Lam Forest Track - Tsing Fai Tong Section & Tin Fu Tsai Section	荃錦郊遊場地；大欖林道-清快塘段及田夫仔段 交界	Others	其他	Tsuen Wan	荃灣	New Territories	新界	825445.58965	828144.64755	22.392519309	114.071777615
Toilet (Twisk Picnic Site, Tsing Fai Tong)	廁所（清快塘 荃錦郊遊場地）	Twisk Picnic Site, Tsing Fai Tong	清快塘 荃錦郊遊場地	Others	其他	Tuen Mun	屯門	New Territories	新界	824289.260625	827310.3893	22.384977857	114.060554748
Toilet (Twisk Picnic Site; Near MacLehose Trail - Section No. 9 Starting Point)	廁所（荃錦郊遊場地；近麥理浩徑 - 第九段 起點）	Twisk Picnic Site; Near MacLehose Trail - Section No. 9 Starting Point	荃錦郊遊場地；近麥理浩徑 - 第九段 起點	Others	其他	Tsuen Wan	荃灣	New Territories	新界	828556.5	829800.1	22.40748567	114.101979735
Toilet (Twisk Picnic Site; Tin Fu Tsai North Mountain Bike Trail)	廁所（荃錦郊遊場地；田夫仔北越野單車徑）	Twisk Picnic Site; Tin Fu Tsai North Mountain Bike Trail	荃錦郊遊場地；田夫仔北越野單車徑	Others	其他	Yuen Long	元朗	New Territories	新界	825658	828582	22.396470145	114.073837428
Toilet (Wan Tsai South Campsite, Sai Kung)	廁所 （西貢 灣仔南營地）	Wan Tsai South Campsite, Sai Kung	西貢 灣仔南營地	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	853316	835816	22.461744324	114.342510082
Toilet (Wan Tsai West Campsite, Sai Kung)	廁所 （西貢 灣仔西營地）	Wan Tsai West Campsite, Sai Kung	西貢 灣仔西營地	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	852995.5938	836234.7708	22.465529158	114.339401486
Toilet (Wong Lung Hang Picnic Site, Wong Lung Hang Road)	廁所 （黃龍坑道 黃龍坑郊遊場地）	Wong Lung Hang Picnic Site, Wong Lung Hang Road	黃龍坑道 黃龍坑郊遊場地	Others	其他	Islands	離島	New Territories	新界	813003.9	814831.345	22.272169797	113.95115002
Toilet (Wong Shek Barbecue Site No. 1)	廁所 （黃石燒烤場地一號）	Wong Shek Barbecue Site No. 1	黃石燒烤場地一號	Others	其他	Tai Po	大埔	New Territories	新界	852719	832766	22.434207405	114.336678173
Toilet (Woodside Biodiversity Education Centre)	廁所 （林邊生物多樣性自然教育中心）	Woodside Biodiversity Education Centre	林邊生物多樣性自然教育中心	Quarry Bay	鰂魚涌	Eastern	東區	Hong Kong	港島	839822	815813	22.28118789	114.21135998
Toilet (Yuen Ng Fan (Nam Fung Wan) Campsite)	廁所 （南風灣營地）	Yuen Ng Fan (Nam Fung Wan) Campsite	南風灣營地	Others	其他	Sai Kung	西貢	New Territories	新界	852263	826488	22.377518466	114.332185607
Toilet (near Tai Lam Country Park Twisk Management Centre)	廁所（大欖郊野公園荃錦管理站的鄰近位置）	Near Tai Lam Country Park Twisk Management Centre	大欖郊野公園荃錦管理站的鄰近位置	Others	其他	Tsuen Wan	荃灣	New Territories	新界	828840.184475	829745.691075	22.406995583	114.104735151
Toilet (near Tai Tam Barbecue Site No. 2; Tai Tam Reservoir Road)	廁所 （近大潭燒烤場地2號；大潭水塘道）	Near Tai Tam Barbecue Site No. 2; Tai Tam Reservoir Road	近大潭燒烤場地2號；大潭水塘道	Quarry Bay	鰂魚涌	Eastern	東區	Hong Kong	港島	838943	813391	22.259317251	114.202826712
Toilet(Chi Ma Wan Country Trail)	廁所（芝麻灣郊遊徑）	Chi Ma Wan Country Trail	芝麻灣郊遊徑	Others	其他	Islands	離島	New Territories	新界	816816	811081	22.238349056	113.988182847
Toilet(Shek Pik Barbecue Area)	廁所（石壁燒烤場）	Shek Pik Barbecue Area	石壁燒烤場	Others	其他	Islands	離島	New Territories	新界	808136	809783.3	22.226510586	113.904006989
Toilet1 (Junction of Tai Tam Road and Tai Tam Reservoir Road)	廁所1 （大潭道及大潭水塘道 交界）	Junction of Tai Tam Road and Tai Tam Reservoir Road	大潭道及大潭水塘道 交界	Tai Tam	大潭	Southern	南區	Hong Kong	港島	840843	811265	22.240114053	114.221254113
Toilet1 (Kau Ling Chung Campsite)	廁所1 （狗嶺涌營地）	Kau Ling Chung Campsite	狗嶺涌營地	Others	其他	Islands	離島	New Territories	新界	803969	807358	22.204535935	113.863638078
Toilet1 (Lo Kei Wan Campsite, Lantau Trail - Section No. 9)	廁所1 （鳳凰徑 - 第9段 籮箕灣營地）	Lo Kei Wan Campsite, Lantau Trail - Section No. 9	鳳凰徑 - 第9段 籮箕灣營地	Others	其他	Islands	離島	New Territories	新界	809265	808200	22.212230419	113.914984215
Toilet1 (Near Shui Chuen O Estate)	廁所1 （近水泉澳邨）	Near Shui Chuen O Estate	近水泉澳邨	Sha Tin	沙田	Sha Tin	沙田	New Territories	新界	838304.90445	825670.49695	22.370209338	114.196651674
Toilet1 (Tuen Mun Barbecue Site No. 2, Tuen Mun Fitness Trail)	廁所1 （屯門燒烤場地2號；屯門健身徑）	Tuen Mun Barbecue Site No. 2, Tuen Mun Fitness Trail	屯門燒烤場地2號；屯門健身徑	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	816408.575975	827130.7029	22.383282098	113.98403181
Toilet1 (Tung Lung Fort Camp Site)	廁所1 （東龍洲炮台營地）	Tung Lung Fort Camp Site	東龍洲炮台營地	Others	其他	Sai Kung	西貢	New Territories	新界	848480	813017	22.25589864	114.295350048
