name_en	name_zh	address_en	address_zh	sub_district_en	sub_district_zh	district_en	district_zh	area_en	area_zh	x	y	lat	long
Chok Kok Wan Village Office Toilet	竹篙灣村公所廁所	Penny's Bay, Lantau Island, NT	新界大嶼山竹篙灣	Lantau Island	大嶼山	Islands	離島	New Territories	新界	821351	821073	22.328627942	114.032081019
Chong San Road Public Toilet	創新路公廁	Chong San Road Public Toilet, Tai Po Kau, Tai Po, NT	新界大埔大埔滘創新路公廁	Tai Po Kau	大埔滘	Tai Po	大埔	New Territories	新界	838813	832833	22.434889651	114.201596475
Toilet (Lau Shui Heung Road, near Lau Shui Heung Irrigation Reservoir)	廁所（流水響道 近流水嚮灌溉水塘）	Lau Shui Heung Road, near Lau Shui Heung Irrigation Reservoir	流水響道 近流水嚮灌溉水塘	Others	其他	North	北區	New Territories	新界	835559	839689	22.496804042	114.169984136
Toilet (Lau Shui Heung Irrigation Reservoir, Lau Shui Heung Road)	廁所 （流水響道 流水響灌溉水塘）	Lau Shui Heung Irrigation Reservoir, Lau Shui Heung Road	流水響道 流水響灌溉水塘	Others	其他	North	北區	New Territories	新界	835481	839705	22.496948494	114.1692261
Chuen Lung Village Public Toilet	川龍村公廁	Chuen Lung Village Public Toilet, Tsuen Wan, NT	新界荃灣川龍村公廁	Tsuen Wan	荃灣	Tsuen Wan	荃灣	New Territories	新界	829125	828389	22.394745198	114.107507365
Chuk Hang Tsuen Public Toilet	竹坑村公廁	Pat Heung, Yuen Long, NT	新界元朗八鄉	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	828070	834306	22.448173784	114.097231617
Chuk Yuen North Estate Toilet	竹園北邨廁所	Chuk Yuen (North) Estate, Wong Tai Sin, KLN	九龍黃大仙竹園北邨	Wong Tai Sin	黃大仙	Wong Tai Sin	黃大仙	Kowloon	九龍	837795	823030	22.346364726	114.191698233
Toilet (Lau Shui Heung Campsite)	廁所 （流水響營地）	Lau Shui Heung Campsite	流水響營地	Others	其他	North	北區	New Territories	新界	835287	839035	22.490898026	114.167341162
Chun Wah Road Public Toilet	振華道公廁	Chun Wah Road Public Toilet, Ngau Tau Kok, KLN	九龍牛頭角振華道公廁	Ngau Tau Kok	牛頭角	Kwun Tong	觀塘	Kowloon	九龍	840414	820450	22.323061513	114.217116357
Chung Hau Tsuen (1) Public Toilet	涌口村（1）公廁	Chung Hau Tsuen (1) Public Toilet, Yuen Long, NT	新界元朗涌口村（1）公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821082	834814	22.452713479	114.029339153
Chung Hau Tsuen Public Toilet	山貝涌口村公廁	Shan Pui Chung Hau Tsuen Public Toilet, Yuen Long, NT	新界元朗山貝涌口村公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821278	835013	22.45451226	114.031241454
Chung Hau Village Public Toilet, Mui Wo	涌口村公廁	Chung Hau Village Public Toilet, Mui Wo, Mui Wo, Lantau Island, NT	新界大嶼山梅窩涌口村公廁	Lantau Island	大嶼山	Islands	離島	New Territories	新界	821278	835013	22.45451226	114.031241454
Chung Hing Back Street Public Toilet	中興後街公廁	Chung Hing Back Street Public Toilet, Cheung Chau, NT	新界長洲中興後街公廁	Cheung Chau	長洲	Islands	離島	New Territories	新界	820998	807424	22.205365891	114.028784318
Chung Hom Kok Beach Public Toilet and Changing Room	舂坎角泳灘公廁及更衣室	Chung Hom Kok, HK	香港舂坎角	Stanley	赤柱	Southern	南區	Hong Kong	港島	838887	808774	22.217622672	114.202275879
Chung Pak Nai (1) Public Toilet	中白泥（1）公廁	Ha Tsuen, Yuen Long, NT	新界元朗廈村	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	814372	834689	22.451511935	113.964152081
Chung Pak Nai (2) Public Toilet	中白泥（2）公廁	Ha Tsuen, Yuen Long, NT	新界元朗廈村	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	812643.08	832875.999	22.435116833	113.947382443
Chung Pak Nai Public Toilet	中白泥公廁	Chung Pak Nai Public Toilet, Ha Tsuen, Yuen Long, NT	新界元朗廈村中白泥公廁	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	812771	832782	22.434269746	113.948626435
Chung Shan San Hing Tsuen Public Toilet	松山新慶村公廁	Chung Shan San Hing Tsuen Public Toilet, Tuen Mun, NT	新界屯門松山新慶村公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815611	831266	22.420616261	113.976233498
Chung Shun Lane Public Toilet	忠信里公廁	Chung Shun Lane Public Toilet, Tai Po, NT	新界大埔忠信里公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	834942	834187	22.44711828	114.163992529
